,13,16,15,18,17
ENSG00000237334,0,0,0,0,0
ENSG00000281820,0,0,0,0,0
ENSG00000281095,0,0,0,0,0
ENSG00000262796,0,0,0,0,0
ENSG00000231116,0,0,0,0,0
OR8U8,0,0,0,0,0
ENSG00000281038,0,0,0,0,0
RP11-54O7.3,0.0106124,0.0580969,0.00646607,0.0480853,0.0671409
ENSG00000280577,0,0,0,0,0
ENSG00000276561,0,0,0,0,0
ENSG00000261958,0,0,0,0,0
OR9G9,0,0,0,0,0
ENSG00000281683,0,0,0,0,0
ENSG00000262268,0,0,0,0,0
ENSG00000272603,0,0,0,0,0
PDS5B,15.7498,29.7127,21.7649,17.1431,16.1752
ENSG00000262647,0,0,0,0,0
ENSG00000272793,0,0,0,0,0
ENSG00000281265,0,0,0,0,0
ENSG00000272857,0,0,0,0,0
ZNF736P8Y,0,0,0,0,0
ENSG00000272613,0,0,0,0,0
ENSG00000281777,0,0,0,0,0
ENSG00000281313,0,0,0,0,0
GPR12,0,0,0,0,0
ENSG00000281279,0,0,0,0,0
RP11-125K10.5,0,0,0,0,0
ENSG00000236614,0,0,0,0,0
BPY2DP,0,0,0,0,0
ENSG00000234411,0,0,0,0,0
RCL1,2.66917,3.42348,4.35118,4.32713,7.25691
ENSG00000276425,0,0,0,0,0
bP-2189O9.2,0.15741,0.0635573,0.028773,0.0254573,0.220144
ENSG00000262535,0,0,0,0,0
ENSG00000281107,0,0,0,0,0
EEF1A1P1,0,0,0,0,0
ZNF736P7Y,0,0,0,0,0
ENSG00000281839,0,0,0,0,0
MIR3681HG,7.74077,5.29721,3.13272,1.28901,0.675891
ENSG00000275172,0,0,0,0,0
KLF4P1,0,0,0,0,0
RPL32P23,0,0,0,0,0
FGFR1OP2P1,0,0,0,0,0
RPS21P8,0,0,0,0,0
TUBAP,0,0,0,0,0
ENSG00000274120,0,0,0,0,0
AC096559.2,0,0,0,0,0
ZNF736P9Y,0,0,0,0,0
bP-2171C21.3,0,0,0,0,0
JAGN1,10.8736,21.7228,24.6467,12.541,12.429
RPS20P32,0,0,0,0,0
RP11-131P10.2,0.0721008,0,0,0,0
RP11-333O1.1,0.0345496,0.0544117,0,0,0.0590872
RP13-270P17.3,0.750978,0.848446,0.835231,1.27548,1.08479
bP-2171C21.4,0,0,0,0,0
RP13-270P17.2,0.275484,0.272404,0.2467,0.301858,0.637501
ENSG00000276099,0,0,0,0,0
bP-2171C21.2,0,0,0,0,0
AP000459.7,0,0,0,0,0
MYOM1,0.112984,0.0297196,0.013273,0.335116,0.222025
ENSG00000275321,0,0,0,0,0
THEG,0,0,0.0570755,0,0
RBMY2JP,0,0,0,0,0
ENSG00000280030,0,0,0,0,0
ENSG00000275326,0,0,0,0,0
ENSG00000280722,0,0,0,0,0
ENSG00000281184,0,0,0,0,0
LINC00437,0,0,0,0,0
bP-2171C21.6,0,0,0.2313,0,0
TEKT4P2,0,0,0.080664,0.423174,0
LINC00366,0,0,0,0,0
ENSG00000242361,0,0,0,0,0
bP-2171C21.5,0,0,0,0,0
RBM17,77.6286,101.824,88.1857,69.9587,69.0982
ENSG00000242092,0,0,0,0,0
ENSG00000281722,0,0,0,0,0
ENSG00000275003,0,0,0,0,0
ENSG00000280737,0,0,0,0,0
TBL1YP1,0,0,0,0,0
ENSG00000277909,0,0,0,0,0
AP000474.1,0,0,0,0,0
ENSG00000275758,0,0,0,0,0
ENSG00000281400,0,0,0,0,0
ENSG00000277897,0,0,0,0,0
AP000477.2,0,0,0,0,0
ENSG00000278373,0,0,0,0,0
TRIB2,17.0723,27.5672,21.2603,22.6611,10.0931
ENSG00000276777,0,0,0,0,0
ENSG00000273326,0,0,0,0,0
CH17-60O17.5,0,0,0,0,0
AP000477.3,0,0,0,0,0
ENSG00000275336,0,0,0,0,0
RP11-544P1.3,0,0,0,0,0
AP000470.2,0,0,0,0,0
ENSG00000272712,0,0,0,0,0
ENSG00000273086,0,0,0,0,0
CTC-352P4.1,0,0,0,0,0
ENSG00000275050,0,0,0,0,0
ENSG00000273681,0,0,0,0,0
RPS4Y2,0,0,0,0,0
ENSG00000278364,0,0,0,0,0
ENSG00000278091,0,0,0,0,0
LINC01689,0,0,0,0,0
ENSG00000277773,0,0,0,0,0
LINC01684,0,0.00808481,0.263687,0,0
HSFY4P,0,0,0,0,0
ENSG00000234495,0,0,0,0,0
ENSG00000280428,0,0,0,0,0
AP001342.1,0,0,0,0,0
CTD-2542C24.1,0,0,0,0,0
AP000235.3,0,0,0,0,0
ENSG00000279318,0,0,0,0,0
AP000146.2,0,0,0,0,0
LINC01692,0,0,0,0,0
AP000402.3,0,0,0,0,0
AC009494.3,0,0,0,0,0
AC064875.2,0,0.0593767,0.0583632,0,0.0167589
ENSG00000276491,0,0,0,0,0
RPS7P10,0,0.0684184,0.0971227,0.0627093,0
USP12-AS1,0,0,0,0,0
RP11-144H23.2,0,0,0,0,0
USP12,18.4519,23.0181,18.6181,18.6944,18.2655
ENSG00000281276,0,0,0,0,0
ENSG00000276595,0,0,0,0,0
FGF9,0,0,0.107052,0.0977085,0
ENSG00000275985,0,0,0,0,0
ENSG00000278121,0,0,0,0,0
ENSG00000281748,0,0,0,0,0
RP11-138I18.1,0,0,0,0,0
ENSG00000273495,0,0,0,0,0
ENSG00000274650,0,0,0,0,0
USP6NL,7.98294,10.0165,10.9068,8.78419,7.99985
ENSG00000280929,0,0,0,0,0
GAPDHP17,0,0,0,0,0
AC092635.1,0,0,0,0,0
AC016730.1,0,0,0,0,0
LINC00276,0,0,0,0,0.0211673
AC124997.1,0,0,0,0,0
AC023449.2,0,0,0,0,0
TMEM167AP1,0,0,0,0,0
RP11-65G9.1,0,0,0,0,0
AP000233.2,0,0,0,0,0
TOMM22P1,0,0,0,0,0
AC011897.2,0,0,0,0,0
RP11-781P6.1,0,0,0.0197868,3.31e-269,4.32e-19
MEGF6,0.184618,0.0860426,0.0698271,0.0397124,0.713574
AP000233.3,0,0,0,0,0
LAMA1,0.0346592,0.201078,1.67069,0.311659,2.88671
NEFLP1,0,0,0,0,0
AP000233.4,0,0,0,0,0
PRMT5,146.916,183.881,236.019,210.739,205.334
IL17RE,16.6363,8.10763,5.77152,11.9027,5.06516
RP11-76K13.3,0,0,0,0,0
SNX18P12,0,0,0,0,0.0980931
bP-21264C1.2,0,0,0,0,0.238752
RBMY2KP,0,0,0,0,0
RP11-673D15.9,0,0,0,0,0
bP-21264C1.1,0,0.0597983,0.247199,0.209683,0.712362
ENSG00000263247,0,0,0,0,0
TSPY24P,0,0,0,0,0
ZNF736P6Y,0,0,0,0,0
RP11-570J4.1,0,0,0,0,0
MTND6P1,0,0,0,0,0
RP11-570J4.2,0,0,0,0,0
MTCYBP1,0,0,0,0,0
RP11-555K2.2,0,0,0,0,0
RP11-555K2.1,0,0,0,0,0
ENSG00000263083,0,0,0,0,0
LINC01667,0,0,0,0,0
ENSG00000262612,0,0,0,0,0
ENSG00000273457,0,0,0,0,0
RP11-380B4.3,0.0596815,0.04151,0.00905051,0.0631714,0.0327066
ENSG00000261984,0,0,0,0,0
MTND1P1,0,0,0,0,0
RPL13AP7,0,0,0.0783277,0,0
ENSG00000273431,0,0,0,0,0
ENSG00000261853,0,0,0,0,0
LINC00423,0,0,0,0,0
ENSG00000272751,0,0,0,0,0
ENSG00000273092,0,0,0,0,0
MTND2P3,0,0,0,0,0
AP001340.3,0,0,0,0,0
ENSG00000272805,0,0,0,0,0
ENSG00000262293,0,0,0,0,0
ENSG00000263097,0,0,0,0,0
TAS2R45,0,0,0,0,0
AC010086.1,0,0,0,0,0
ENSG00000272803,0,0,0,0,0
ENSG00000262531,0,0,0,0,0
ENSG00000273144,0,0,0,0,0
ENSG00000263028,0,0,0,0,0
ENSG00000262525,0,0,0,0,0
ENSG00000262111,0,0,0,0,0
ENSG00000224979,0,0,0,0,0
ENSG00000272718,0,0,0,0,0
ENSG00000262986,0,0,0,0,0
FAM84A,0,0.0605994,0.171146,0.241457,0.453064
ENSG00000263158,0,0,0,0,0
RP11-529E15.1,0,0,0,0,0
AC073218.3,0,0,0,0,0
ENSG00000281610,0,0,0,0,0
LINC01320,0.0580464,0,0.132713,0,0
TOMM22P3,0,0,0,0,0
TRIM60P3Y,0,0,0,0,0
ENSG00000277495,0,0,0,0,0
LINC00158,0,0,0,0,0
RP11-2F9.4,0,0,0,0,0
RPS8P10,0,0,0,0,0
ENSG00000280513,0,0,0,0,0
RP11-555K2.4,0,0,0,0,0
RP11-138I18.2,0,0,0,0,0
ENSG00000280853,0,0,0,0,0
IGHV1OR15-1,0,0,0,0,0
ENSG00000281787,0,0,0,0,0
ZNF736P10Y,0,0,0,0,0
ENSG00000281377,0,0,0,0,0
ENSG00000277976,0,0,0,0,0
ENSG00000273954,0,0,0,0,0
ENHO,0,0.0244043,0,0.0210832,0.00022656
ENSG00000279974,0,0,0,0,0
IGHV1OR15-3,0,0,0,0,0
RP11-296L22.8,0,0,0,0,0.132863
CH17-39B16.2,0,0,0,0,0
CH17-39B16.1,0,0,0,0,0
bP-21201H5.1,0,0.0638537,0,0,0.0181079
RP11-296L22.7,0,0,0,0,0
bP-21201H5.2,0,0,0,0,0
RP11-17E15.1,0,0,0,0,0
TM9SF2,60.4085,95.8958,89.9643,62.2524,77.8267
ITPR1,6.6878,4.12847,5.03861,5.78211,5.26818
LINC00412,0,0,0,0,0
RP11-428O18.6,0,0.0656766,0.153729,0.216408,0
USP12-AS2,0,0,0,0,0
ATP10A,1.71605,0.0114089,2.47404,0.681238,5.26086
NOC2L,37.4461,31.4469,37.4944,24.4685,25.7219
LINC00279,0,0,0,0,0
TTTY18,0,0,0,0,0
MAP1A,0,0.0182785,0.0282908,0.0227186,0.0317838
TTTY19,0,0,0,0,0
RP11-345J18.2,0.628295,0,0.417529,0.379933,1.96842
IGHV4OR15-8,0,0,0,0,0
CH507-216K13.2,0,0,0,0,0
ENSG00000275565,0,0,0,0,0
KL,0,0,0,0,0
AGAP10P,0,0.020061,0.0281281,0.010256,0.0332925
PGGT1BP1,0,0,0,0.0346192,0.0777525
ENSG00000278780,0,0,0,0,0
ENSG00000227231,0,0,0,0,0
PRORY,0,0,0,0,0
RBM23,34.6841,43.1055,47.8109,44.8442,46.9647
IGHV1OR15-4,0,0,0,0,0
AP000221.1,0,0,0,0,0
CH507-216K13.1,0,0,0,0,0
AC068286.1,0,0,0,0,0
EIF3FP1,0,0.0345936,0,0,0.0385841
AP003900.6,0,0.0777577,0.0751722,0,0
MIR155HG,0,0,0,0,0
RP11-603B24.6,0,0,0,0,0
RP11-603B24.2,0,0,0,0,0
ZNF512,6.90287,15.0862,17.7672,7.51638,8.88646
RBMY2EP,0,0,0,0,0
ENSG00000226704,0,0,0,0,0
ENSG00000276446,0,0,0,0,0
AP000223.42,0.0912518,0.12227,0.256023,0.0638368,0.298756
RP11-603B24.1,0,0,0,0,0
ENSG00000224642,0,0,0,0,0
ENSG00000274835,0,0,0,0,0
ENSG00000241408,0,0,0,0,0
CHCHD2P9,0,0.199797,0.147069,0,0
VN1R7P,0,0,0,0,0
ENSG00000280638,0,0,0,0,0
SAMD11,0.0735499,0.029602,0.0802032,0.409289,0.148017
RP11-375O18.2,0,0,0,0,0
ECHDC3,9.30809,14.8181,16.553,14.0522,15.5339
RP11-389J22.3,0,0,0,0,0
ENSG00000225351,0,0,0,0,0
PRPF19P1,0,0,0,0,0
ENSG00000235941,0,0,0,0,0
SLC4A1AP,17.4549,26.4955,20.4969,17.643,20.3308
TTTY11,0,0,0,0,0
ENSG00000273679,0,0,0,0,0
AC010086.5,0,0,0,0,0
RP11-589M2.1,0,0,0,0,0
RBMY2TP,0,0,0,0,0
ENSG00000274279,0,0,0,0,0
AC007967.2,0,0,0,0,0
ENSG00000277429,0,0,0,0,0
FAM197Y10,0,0,0,0,0
CDH19,0,0,0.26909,0.0211529,0
RP11-2C7.1,0,0,0,0,0
ENSG00000232804,0,0,0,0,0
TSPY14P,0,0,0,0,0
RP11-1084I9.2,0,0,0,0,0
RP11-631M21.1,0,0,0,0,0
RP11-446P9.1,0,0,0,0,0
RP11-1084I9.1,0,0,0,0,0
FAM166AP7,0,0,0,0,0
ENSG00000236070,0,0,0,0,0
SUPT7L,16.6245,19.9769,18.0022,19.7482,18.5369
ENSG00000226463,0,0,0,0,0
ENSG00000233054,0,0,0,0,0
A1CF,0.0303866,0.0485717,0,0.0410151,0.0149496
ENSG00000278545,0,0,0,0,0
RP11-158I13.2,1.36e-114,0.249181,7.31e-105,0.0907657,3.05e-232
ENSG00000234305,0,0,0,0,0
AC009474.1,0,0,0,0,0
CCDC121,0.891036,1.07371,1.26221,0.83278,1.06339
ZNF414,6.04849,0.976423,6.0341,5.20442,3.54617
EGOT,0.0195706,0,0.0189559,0,0
AC018816.3,1.60842,0.589129,0.386001,0.520596,0.291747
TUBB8,0.0501316,0.0188031,0.0412622,0,0
GPN1,23.0483,40.1566,35.6188,22.862,23.2896
FAM21FP,0.0937534,0.180104,0.239449,0,0.312388
ENSG00000226271,0,0,0,0,0
ENSG00000262510,0,0,0,0,0
KB-226F1.5,0,0,0,0,0
ENSG00000224229,0,0,0,0,0
RP11-671E7.1,0.337996,0.225653,2.48189,0.229021,1.27001
LINC00424,0,0,0,0,0
LRRC9,0,0,0,0,0
ENSG00000229040,0,0,0,0,0
BRD7P6,0,0,0,0,0
ENSG00000262752,0,0,0,0,0
ENSG00000261847,0,0,0,0,0
ENSG00000262476,0,0,0,0,0
LGALS3,122.858,62.3227,81.6816,126.216,127.631
WASHC2C,9.28409,15.4339,12.9981,11.551,15.9818
ENSG00000225550,0,0,0,0,0
RP11-141M1.1,0,0,0,0,0
RPS7,421.739,742.705,671.373,407.194,399.105
FUNDC2P2,0,0,0,0,0
ENSG00000226799,0,0,0,0,0
ENSG00000230754,0,0,0,0,0
STARD13,3.43126,7.40471,6.08622,4.64969,4.78679
RP11-16B13.1,0,0,0,0.107093,0
IL9RP2,0,0,0,0,0
ENSG00000236910,0,0,0,0,0
RP11-62H20.1,0,0,0,0,0
ENSG00000276912,0,0,0,0,0
ENSG00000231960,0,0,0,0,0
RP11-449O16.2,0,0,0,0,0
ENSG00000228846,0,0,0,0,0
ASAH2B,2.3934,2.82095,2.35618,2.04441,2.52642
SCN5A,8.56748,7.3767,9.99434,17.5416,9.3049
RP11-63N8.3,0,0,0,0,0
TPTE,0,0.0980807,0.313467,0,0
AC009474.2,0,0,0,0,0
AC106874.1,0,0,0,0,0
ENSG00000263141,0,0,0,0,0
ENSG00000230012,0,0,0,0,0
ENSG00000226347,0,0,0,0,0
PRMT5-AS1,1.54113,0.022295,0.717017,0.904274,0.583046
LINC01799,0,0,0,0,0
RPL31P9,0,0,0,0,0
LINC01628,0,0,0,0,0
TRMT1,8.41115,13.5721,22.2992,18.12,11.2266
KB-226F1.4,0,0,0,0,0
CDKN2AIPNLP2,0,0,0,0,0
RP11-20A20.2,0,0,0,0,0
MTND3P1,0,0,0,0,0
LINC00540,0,0,1.92026,0,0
ZNF396,0.324975,0.544731,0.355218,0.407162,0.714867
NME1P1,0,0,0,0,0
ENSG00000273772,0,0,0,0,0
LTBP2,4.50326,2.68084,2.00207,5.01256,5.74049
MEX3D,4.26036,8.99254,9.46962,8.16378,5.8984
PSAP,439.192,328.206,316.115,451.778,423.737
LINC01039,0,0,0,0,0
TUSC1,1.39636,3.31828,3.62605,2.55255,2.15525
ENSG00000229210,0,0,0,0,0
LINC01241,0,0,0,0,0
FBLN2,0.0318497,0,0,0.0121335,0.0956279
RP11-439L8.2,0,0,0,0,0
FAM71BP1,0,0,0,0,0
CFL1P8,0,0,0,0,0
AKR1C1,32.2058,72.0901,7.31694,10.6735,19.1298
ATP11A-AS1,0,0,0,0,0
RP11-73M11.3,0,0,0,0,0
RP11-322E11.1,0,0,0,0,0
RP11-322E11.2,0,0,0,0.0123207,0.0948201
ATP11A,0,0,0,0,0.102914
TYK2,59.3327,38.3976,68.793,68.0749,59.5991
RP11-80I3.1,0.844759,0.438147,0.379194,0.631136,0.549994
STARD13-AS,0.272714,0.578829,0.353462,0.650452,0.402822
ENSG00000237690,0,0,0,0,0
RP11-563H6.1,0,0,0,0,0
ENSG00000236927,0,0,0,0,0
ENSG00000260578,0.0149092,0.0170683,0,0.0387706,0.0213322
PTCD2P2,0,0,0,0,0
ENSG00000263424,0.0383514,0.683797,0.428073,0.738688,0.718223
RP11-28O3.2,0,0,0,0,0
AL078471.5,0,0.0260752,0.11093,0,0
CTD-2207P18.1,8.87e-48,0.0558613,0,8.26e-24,5.9e-33
ENSG00000230505,0,0,0,0,0
STARD13-IT1,0,0,0,0,0
RP11-29O13.1,0,0,0,0,0
RP11-638L3.1,0,0,0,0,0
RP11-141M1.4,0,0.403967,0.105839,0,0
ENSG00000229181,0,0,0,0,0
RP11-638L3.4,0,0,0,0,0
ENSG00000242289,0,0,0,0,0
LINC01903,0,0,0,0,0
CYCSP41,0,0,0,0,0
RP11-638L3.2,0,0,0,0,0
INO80C,24.7322,23.5082,39.3111,25.7061,51.8987
BAGE2,0.0195224,0.0396648,0.351406,0,0.0303313
ENSG00000232289,0,0,0,0,0
ENSG00000171451,0.259865,1.25632,1.47898,0.872071,1.84498
LINC01225,0,0,0,0,0.0452639
RP11-28O3.1,0,0,0,0,0
PRDX3P3,0,0,0,0,0
ENSG00000224923,0,0,0,0,0
TINAGL1,8.544,24.9035,44.7006,8.61603,33.8235
DIO2,0.0251111,0.0749081,0.211339,0.0438646,4.21276
MRPL39,19.6009,30.98,36.4078,24.8174,21.7692
ENSG00000185182,0,0,0,0,0
RP11-322E11.5,1.52372,0.620028,0.0696035,0.511428,6.91e-50
ENSG00000273572,0,0,0,0,0
ENSG00000276979,0,0,0,0,0
RP11-840I19.5,0,0.252733,0,0.158568,0.284516
RP11-322E11.6,5.04e-06,0.000442886,1.60413,0.000242114,0.650177
RP11-322E11.3,0,0,0,0,0
CHURC1,24.195,43.2506,49.874,27.8185,29.9837
DIO2-AS1,0,0,0,0,0
RP11-5P15.1,0,0,0,0,0
ENSG00000230136,0,0,0,0,0
RP11-18A15.1,0,0,0,0,0
PDPN,0.0136633,0,0,0,0
ENSG00000231919,0,0,0,0,0
RP11-73M7.1,0,0.0533265,0,0,0
RP11-337A23.6,0,0,0,0,0
LINC00345,0,0,0,0,0
AC007403.3,0,0,0,0,0
ENSG00000262860,0,0,0,0,0
ENSG00000236918,0,0,0,0,0
LRCH1,7.36737,11.0413,10.3283,8.90969,7.09716
ENSG00000225188,0,0,0,0,0
FNTB,9.14915,9.49534,9.71671,11.223,14.2889
ENSG00000231320,0,0,0,0,0
TEX10,20.1917,32.7283,30.9155,19.6053,14.1752
TEC,5.90587,4.56674,5.11815,4.92884,6.30532
LINC01829,0,0,0,0.086451,0
ENSG00000223618,0,0,0,0,0
LINC01828,0,0.00736544,0.054753,0.168739,0
ACBD5,20.473,24.0104,20.0213,26.7686,24.6349
CHURC1-FNTB,6.74e-07,2.95076,2.70707,1.41495,3.32041
TLN1,118.481,131.304,134.168,132.078,160.276
ENSG00000231037,0,0,0,0,0
ENSG00000274429,0,0,0,0,0
ENSG00000249415,0,0,0,0,0
ENSG00000227596,0,0,0,0,0
TLR7,0.0087673,0.190537,0.237223,0.0121976,0.0842506
ENSG00000227178,0,0,0,0,0
RAB15,0.450659,7.42504,8.87367,1.38868,1.35803
CH17-80A12.1,0.132597,0.0797723,0,0.0448628,0
IGKV1OR9-2,0,0,0,0,0
GSTT1,0,0,0,0,0
RPL21,722.272,992.924,714.455,580.667,540.853
ENSG00000231733,0,0,0,0,0
AL132709.1,0,0,0,0,0
SUCLG1,30.9212,41.6949,44.2716,27.0995,24.5314
RNMT,21.0666,25.3381,24.9209,19.7884,15.9689
RP11-318K12.2,0,0,0,0,0
RP11-318K12.1,0,0,0,0,0
TLR8,0,0,0.0116569,0,0.00953609
ENSG00000236492,0,0,0,0,0
SPG21,98.8767,51.758,78.1107,83.1542,74.705
LINC01186,0.297775,0.323294,0.785358,0.282949,0.286645
RP11-165D6.1,0,0,0,0,0
RP11-840I19.3,0.642704,0.147462,0.0988286,0.376004,0.793202
TLR8-AS1,0.280917,1.5183,1.55568,0.238507,0.79107
ENSG00000236693,0,0,0,0,0
RP11-318K12.3,0,0,0,0,0
GPX2,0.0680986,0.0239019,0,0,0.07345
LINC00609,0.0870951,0,0,0,0
PTCSC3,0,0,0.191417,0,0
RP11-373J21.1,0,0,0,0,0
MAX,32.9684,51.3525,43.0773,33.4215,30.4434
CTD-2311M21.4,0.100112,0,0,0,0
ADAMTS3,0.433507,0.556129,0.142419,0.286212,0.489954
RP11-78J21.4,0,0,0,0,0
CTD-2311M21.5,0,0,0,0,0
RP11-356M17.1,0,0,0,0,0
RP11-78J21.6,0,0,0,0,0
ENSG00000278839,0,0,0,0,0
SNX5P1,0.0416159,0,0.0360667,0.0555606,0.0635861
CCDC158,0.0115945,0.0168586,0.0395647,0.00803504,0.019513
SLC2AXP1,0,0,0,0,0
AC007967.3,0,0,0,0,0
GBA2,34.5191,29.7729,29.4708,40.0775,35.6643
RPL9P7,0.0708191,0.262255,0.220975,0,0
ENSG00000231608,0,0,0,0,0
CXorf58,3.01e-55,0.0178647,0,0,0
AC092835.2,0.124681,0.0581735,0.0607882,0,0.0922299
ENSG00000275363,0,0,0,0,0
SLC25A51P2,0,0,0,0,0
ENSG00000231580,0,0,0,0,0
APOO,21.0581,57.261,54.6071,42.0962,16.0019
ENSG00000235844,0,0,0,0,0
AC005363.9,0.574605,1.57275,0.846052,2.08163,8.36e-136
RP11-109P14.10,1.37e-13,2.8e-23,0.11346,8.35e-107,1.73e-12
FTH1P7,0,0,0,0.309323,0
RP11-75A9.1,0,0,0,0.0158192,0
RPS2,846.686,920.676,1045.2,952.925,577.766
AC013275.2,0,0,0,0,0
TMSB4X,2682.09,3404.72,3691.21,2747.75,4866.08
DDX39AP1,0,0,0,0,0
SCTR,0,0,0,0,0
ENSG00000275316,0,0,0,0,0
INPP5B,2.22766,3.23689,4.0953,3.09058,2.59738
GAPDHP65,0.0795063,0.0427693,0.0919025,0.0188657,0.0218481
RPL7AP73,0,0,0,0,0
AC005943.2,5.23555,0.115417,6.19e-10,2.76005,0.715211
IPMKP1,0,0,0,0,0
RP11-8L8.2,0,0,0,0,0
UQCR11,35.1353,29.2262,27.7233,48.6676,36.4602
ENSG00000234728,0,0,0,0,0
RFESDP1,0,0,0,0,0
RP11-8L8.1,0,0,0,0,0
RBMY1HP,0,0,0,0,0
RPS29P11,0,0,0,0,0
AC013472.4,0,0,0,0,0
ENSG00000277574,0,0,0,0,0
RP11-302F12.4,0,0,0,0,0
AC013472.3,0,0.0127853,0,0.0130595,0.122167
MTND4P9,0,0,0,0,0.066505
AC005943.6,84.6163,6.76e-09,16.7941,52.9916,14.043
AC010141.4,0,0,0,0,0
IGHV3-29,0,0,0,0,0
CTD-2561F5.1,0,0,0,0,0
NUS1P2,0,0,0,0,0
MTND4LP22,0,0,0,0,0
LINC00621,0,0,0,0,0
LRRC25,0,0,0,0,0
BASP1P1,0,0,0,0,0
MBD3,9.96528,8.72813,11.7845,13.9172,13.1299
DPYSL5,0,0,0,0,0
TMEM87A,17.2147,24.0141,25.0683,16.5613,16.275
RP11-196B3.4,0,0,0,0,0
MTND3P5,0,0,0,0,0
IGHV3-33,0,0,0,0,0
ERAS,0,0.0161114,0.0241876,0.0599668,0.0510099
IGHVII-33-1,0,0,0,0,0
ENSG00000232414,0,0,0,0,0
RP11-168L7.1,0,0,0,0,0
NAT8,0,0,0,0,0
ENSG00000232232,0,0,0,0,0
RP11-720L3.1,0,0,0,0,0
IGHV3-33-2,0,0,0,0,0
RP11-124N19.3,0,0,0,0,0
LINC00524,0,0,0,0,0.377251
FAM210A,7.85318,24.511,22.2473,10.9993,10.4719
CREB3,20.4255,20.8649,23.5531,23.433,20.9138
MTCO3P44,0,0,0,0,0
SERPINB1,58.1562,73.7957,79.6297,91.9763,166.1
PROSER2-AS1,0.0105175,0.0532557,0.0827211,0.0855353,0.0247939
ENSG00000211956,0,0,0,0,0
ENSG00000280072,0,0,0,0,0
PCSK1N,0.127596,0.32278,0.637464,0,0.181224
RP11-168L7.3,0,0,0,0,0
ALMS1P1,0,0.0137152,0,0.0277144,0.0309214
PROSER2,7.40785,9.66306,11.6434,13.6155,10.2577
KB-1125A3.14,0,0,0,0,0
ENSG00000262938,0,0,0,0,0
RP11-87H9.5,0.0283188,0.0732413,0.0480639,0.0819667,0.0802545
FOXD4L6,0,0,0,0,0
FRG1HP,6.94713,9.26424,8.7947,7.05616,8.95663
ENSG00000263140,0,0,0,0,0
IGHV7-34-1,0,0,0,0,0
NMU,11.3868,8.66556,6.84921,2.89579,13.661
RP1-265C24.8,0.0659158,0.0341489,0.0235971,0.0443345,0.0595713
FAM138E,0,0,0,0,0
KDM1B,9.3232,12.6056,18.8364,12.9401,12.0436
