,MK,Kb,MKH,cont,Ka
ENSG00000281095,0,0,0,0,0
ENSG00000262796,0,0,0,0,0
ENSG00000231116,0,0,0,0,0
OR8U8,0,0,0,0,0
ENSG00000281038,0,0,0,0,0
RP11-54O7.3,0.048692,0.0795861,0.0382641,0.0238962,0.0601339
ENSG00000280577,0,0,0,0,0
ENSG00000276561,0,0,0,0,0
ENSG00000261958,0,0,0,0,0
OR9G9,0,0,0,0,0
ENSG00000281683,0,0,0,0,0
ENSG00000262268,0,0,0,0,0
ENSG00000272603,0,0,0,0,0
PDS5B,8.15762,8.21029,8.53277,8.32235,7.86457
ENSG00000262647,0,0,0,0,0
ENSG00000272793,0,0,0,0,0
ENSG00000281265,0,0,0,0,0
ENSG00000272857,0,0,0,0,0
ZNF736P8Y,0,0,0,0,0
ENSG00000272613,0,0,0,0,0
ENSG00000281777,0,0,0,0,0
ENSG00000281313,0,0,0,0,0
GPR12,0,0,0,0,0
ENSG00000281279,0,0,0,0,0
RP11-125K10.5,0,0,0,0,0
ENSG00000236614,0,0,0,0,0
BPY2DP,0,0,0,0,0
ENSG00000234411,0,0,0,0,0
RCL1,2.54246,2.23284,3.1892,3.54032,3.87846
ENSG00000276425,0,0,0,0,0
bP-2189O9.2,0.038107,0.0832456,0.0501823,0.0575613,0.0310234
ENSG00000262535,0,0,0,0,0
ENSG00000281107,0,0,0,0,0
EEF1A1P1,0,0,0,0,0
ZNF736P7Y,0,0,0,0,0
ENSG00000281839,0,0,0,0,0
MIR3681HG,0.585826,2.17943,12.675,2.8776,1.83622
ENSG00000275172,0,0,0,0,0
KLF4P1,0,0,0,0,0.0245584
RPL32P23,0,0,0,0,0
FGFR1OP2P1,0,0,0,0,0
RPS21P8,0,0,0,0,0
TUBAP,0,0,0,0,0
ENSG00000274120,0,0,0,0,0
AC096559.2,0,0,0,0,0
ZNF736P9Y,0,0,0,0,0
bP-2171C21.3,0,0,0,0,0
JAGN1,22.6125,18.9998,18.8426,20.5147,16.8414
RPS20P32,0,0,0,0,0
RP11-131P10.2,0,0,0,0,0
RP11-333O1.1,0.293695,0.224299,0.14928,0.167345,0.190909
RP13-270P17.3,0.78988,1.18187,0.2921,0.410427,0.916042
bP-2171C21.4,0,0,0,0,0
RP13-270P17.2,0.135436,0.174689,0.196615,0.122978,0.226286
ENSG00000276099,0,0,0,0,0
bP-2171C21.2,0,0,0,0,0
AP000459.7,0,0,0,0,0
MYOM1,0.025924,0.0105107,0.0086036,0.0609631,0.0254355
ENSG00000275321,0,0,0,0,0
THEG,0,0,0,0,0
RBMY2JP,0,0,0,0,0
ENSG00000280030,0,0,0,0,0
ENSG00000275326,0,0,0,0,0
ENSG00000280722,0,0,0,0,0
ENSG00000281184,0,0,0,0,0
LINC00437,0,0,0,0,0
bP-2171C21.6,0,0,0,0,0
TEKT4P2,0.00936651,0,0.0085598,0,0
LINC00366,0,0,0,0,0
ENSG00000242361,0,0,0,0,0
bP-2171C21.5,0,0,0,0,0
RBM17,30.0672,37.0109,29.2532,33.0559,35.4031
ENSG00000242092,0,0,0,0,0
ENSG00000281722,0,0,0,0,0
ENSG00000275003,0,0,0,0,0
ENSG00000280737,0,0,0,0,0
TBL1YP1,0,0,0,0,0
ENSG00000277909,0,0,0,0,0
AP000474.1,0,0,0,0,0
ENSG00000275758,0,0,0,0,0
ENSG00000281400,0,0,0,0,0
ENSG00000277897,0,0,0,0,0
AP000477.2,0,0,0,0,0
ENSG00000278373,0,0,0,0,0
TRIB2,24.0434,26.1177,17.787,16.4794,7.94257
ENSG00000276777,0,0,0,0,0
ENSG00000273326,0,0,0,0,0
CH17-60O17.5,0,0,0,0,0
AP000477.3,0,0,0,0,0
ENSG00000275336,0,0,0,0,0
RP11-544P1.3,0,0,0,0,0.00396243
AP000470.2,0,0,0,0,0
ENSG00000272712,0,0,0,0,0
ENSG00000273086,0,0,0,0,0
CTC-352P4.1,0,0,0,0,0
ENSG00000275050,0,0,0,0,0
ENSG00000273681,0,0,0,0,0
RPS4Y2,0,0,0,0,0
ENSG00000278364,0,0,0,0,0
ENSG00000278091,0,0,0,0,0
LINC01689,0,0,0,0,0
ENSG00000277773,0,0,0,0,0
LINC01684,0.0492334,0.0486112,0,0,0
HSFY4P,0,0,0,0,0
ENSG00000234495,0,0,0,0,0
ENSG00000280428,0,0,0,0,0
AP001342.1,0,0,0,0,0
CTD-2542C24.1,0,0,0,0,0
AP000235.3,0,0,0,0,0
ENSG00000279318,0,0,0,0,0
AP000146.2,0,0,0,0,0
LINC01692,0,0,0,0,0
AP000402.3,0,0,0,0,0
AC009494.3,0,0,0,0,0
AC064875.2,0.044968,0.207206,0.0670511,0.0450458,0.0368007
ENSG00000276491,0,0,0,0,0
RPS7P10,0.535062,0.580881,0.753772,0.406512,0.617149
USP12-AS1,0,0,0,0.117688,0.114874
RP11-144H23.2,0,0.0216474,0.0236711,0.0338623,0.0179648
USP12,13.0664,13.5917,17.8269,17.0371,20.4995
ENSG00000281276,0,0,0,0,0
ENSG00000276595,0,0,0,0,0
FGF9,0,0,0.0458388,0.0623835,0.043861
ENSG00000275985,0,0,0,0,0
ENSG00000278121,0,0,0,0,0
ENSG00000281748,0,0,0,0,0
RP11-138I18.1,0,0,0.0726955,0,0.0314424
ENSG00000273495,0,0,0,0,0
ENSG00000274650,0,0,0,0,0
USP6NL,8.69872,11.3152,12.8973,10.3378,11.4398
ENSG00000280929,0,0,0,0,0
GAPDHP17,0,0,0,0,0
AC092635.1,0,0,0,0,0
AC016730.1,0,0,0,0,0
LINC00276,0,0,0,0,0
AC124997.1,0,0,0,0,0
AC023449.2,0,0,0,0,0
TMEM167AP1,0,0,0,0,0
RP11-65G9.1,0,0,0,0,0
AP000233.2,0,0,0,0.0291351,2.29792e-09
TOMM22P1,0,0,0,0,0
AC011897.2,0,0,0,0,0
RP11-781P6.1,0,0,0,0,0
MEGF6,0.848073,1.38518,0.259091,1.04873,0.391248
AP000233.3,0,0,0,0,0
LAMA1,0.101516,0.0622391,0.0355134,0.0870213,0.074695
NEFLP1,0,0,0,0,0
AP000233.4,0,0,0,0,0
PRMT5,32.8378,36.7929,48.3729,47.844,53.299
IL17RE,5.77379,5.37336,5.93864,3.06663,2.16689
RP11-76K13.3,0,0,0,0,0
SNX18P12,0,0.0153717,0,0.026074,0.0128614
bP-21264C1.2,0.0336187,0,0,0,0.127921
RBMY2KP,0,0,0,0,0
RP11-673D15.9,0,0,0,0,0
bP-21264C1.1,0.114255,0.089753,0.127164,0.152256,0.128825
ENSG00000263247,0,0,0,0,0
TSPY24P,0,0,0,0,0
ZNF736P6Y,0,0,0,0,0
RP11-570J4.1,0,0,0,0,0
MTND6P1,0,0,0,0,0
RP11-570J4.2,0,0,0,0,0
MTCYBP1,0,0,0,0,0
RP11-555K2.2,0,0,0,0,0
RP11-555K2.1,0,0,0,0,0
ENSG00000263083,0,0,0,0,0
LINC01667,0,0,0,0.00865445,0
ENSG00000262612,0,0,0,0,0
ENSG00000273457,0,0,0,0,0
RP11-380B4.3,0.12971,0.121529,0.119588,0.0835997,0.0583762
ENSG00000261984,0,0,0,0,0
MTND1P1,0,0,0,0,0
RPL13AP7,0.576736,0.485982,0.39754,0.264607,0.444532
ENSG00000273431,0,0,0,0,0
ENSG00000261853,0,0,0,0,0
LINC00423,0,0,0,0,0
ENSG00000272751,0,0,0,0,0
ENSG00000273092,0,0,0,0,0
MTND2P3,0,0,0,0,0
AP001340.3,0,0,0,0,0
ENSG00000272805,0,0,0,0,0
ENSG00000262293,0,0,0,0,0
ENSG00000263097,0,0,0,0,0
TAS2R45,0,0,0,0,0
AC010086.1,0,0,0,0,0
ENSG00000272803,0,0,0,0,0
ENSG00000262531,0,0,0,0,0
ENSG00000273144,0,0,0,0,0
ENSG00000263028,0,0,0,0,0
ENSG00000262525,0,0,0,0,0
ENSG00000262111,0,0,0,0,0
ENSG00000224979,0,0,0,0,0
ENSG00000272718,0,0,0,0,0
ENSG00000262986,0,0,0,0,0
FAM84A,0,0.00551755,0,0.0252045,0
ENSG00000263158,0,0,0,0,0
RP11-529E15.1,0,0,0,0,0
AC073218.3,0,0,0,0,0
ENSG00000281610,0,0,0,0,0
LINC01320,0,0,0,0,0
TOMM22P3,0,0,0,0,0
TRIM60P3Y,0,0,0,0,0
ENSG00000277495,0,0,0,0,0
LINC00158,0,0,0.0109071,0,0
RP11-2F9.4,0,0,0,0,0
RPS8P10,0.0555839,0.106169,0.168218,0.160607,0.13711
ENSG00000280513,0,0,0,0,0
RP11-555K2.4,0,0,0,0,0
RP11-138I18.2,0,0,0,0,0
ENSG00000280853,0,0,0,0,0
IGHV1OR15-1,0,0,0,0,0
ENSG00000281787,0,0,0,0,0
ZNF736P10Y,0,0,0,0,0
ENSG00000281377,0,0,0,0,0
ENSG00000277976,0,0,0,0,0
ENSG00000273954,0,0,0,0,0
ENHO,0.159395,0.0573209,0.0378889,0.0352826,0.230806
ENSG00000279974,0,0,0,0,0
IGHV1OR15-3,0,0,0,0,0
RP11-296L22.8,7.53125e-11,0,0,0,1.03307e-10
CH17-39B16.2,0,0,0,0,0
CH17-39B16.1,0,0,0,0,0
bP-21201H5.1,0.0422677,0,0.0219216,0.0337846,0.00863315
RP11-296L22.7,0,0,0,0,0
bP-21201H5.2,0,0,0,0,0
RP11-17E15.1,0,0,0,0,0
TM9SF2,69.0935,74.0593,63.0415,66.9304,63.1839
ITPR1,1.98152,2.77933,4.11505,2.21976,1.96272
LINC00412,0.110527,0.105053,0.222732,0,0
RP11-428O18.6,0.0240055,0.0232727,0.12414,0.0379081,0.0369513
USP12-AS2,0,0,0.209139,0.0929807,0
ATP10A,0,0.0951428,2.90842,2.3766,3.96636
NOC2L,52.3132,41.7852,38.8423,45.7538,50.4369
LINC00279,0,0,0,0,0
TTTY18,0,0,0,0,0
MAP1A,0.0208212,0.0405414,0.0297572,0.051197,0.0867525
TTTY19,0,0,0,0,0
RP11-345J18.2,0,0.00681778,0.242768,0.227758,0.245254
IGHV4OR15-8,0,0,0,0,0
CH507-216K13.2,0,0,0,0,0
ENSG00000275565,0,0,0,0,0
KL,0.00555545,0.0106976,0,0.0119868,0
AGAP10P,0.0160684,0.031107,0.0054365,0.0442668,0.0437358
PGGT1BP1,0,0,0,0.0347384,0.0358782
ENSG00000278780,0,0,0,0,0
ENSG00000227231,0,0,0,0,0
PRORY,0,0,0,0,0
RBM23,38.2504,40.1914,49.547,43.2418,46.4207
IGHV1OR15-4,0,0,0,0,0
AP000221.1,0,0.0669403,0,0,0
CH507-216K13.1,0,0,0,0,0
AC068286.1,0,0,0,0,0
EIF3FP1,0.0395152,0,0,0,0
AP003900.6,0,0,0,0,0.0162566
MIR155HG,0,0,0.0176817,0.0392717,0.0136225
RP11-603B24.6,0,0,0,0,0
RP11-603B24.2,0,0,0,0,0
ZNF512,16.6714,18.6832,9.16889,12.5905,9.7116
RBMY2EP,0,0,0,0,0
ENSG00000226704,0,0,0,0,0
ENSG00000276446,0,0,0,0,0
AP000223.42,0.099434,0.144656,0.105584,0.121594,0.12233
RP11-603B24.1,0,0,0,0,0
ENSG00000224642,0,0,0,0,0
ENSG00000274835,0,0,0,0,0
ENSG00000241408,0,0,0,0,0
CHCHD2P9,0.166017,0,0,0.0961292,0.0460804
VN1R7P,0,0,0,0,0
ENSG00000280638,0,0,0,0,0
SAMD11,0.527294,0.843199,0.226561,0.277065,0.218559
RP11-375O18.2,0,0,0,0,0
ECHDC3,22.4558,28.936,14.6567,24.8845,19.6589
RP11-389J22.3,0,0,0,0,0
ENSG00000225351,0,0,0,0,0
PRPF19P1,0,0,0,0,0
ENSG00000235941,0,0,0,0,0
SLC4A1AP,14.0808,14.073,9.99895,12.838,10.4891
TTTY11,0,0,0,0,0
ENSG00000273679,0.0150962,0.0293161,0.078038,0.0371053,0.012492
AC010086.5,0,0,0,0,0
RP11-589M2.1,0,0,0,0,0
RBMY2TP,0,0,0,0,0
ENSG00000274279,0,0,0,0,0
AC007967.2,0,0,0,0,0
ENSG00000277429,0,0,0,0,0
FAM197Y10,0,0,0,0,0
CDH19,0,0.0181934,0,0,0
RP11-2C7.1,0,0,0,0,0
ENSG00000232804,0,0,0,0,0
TSPY14P,0,0,0,0,0
RP11-1084I9.2,0,0,0,0,0
RP11-631M21.1,0,0,0,0,0
RP11-446P9.1,0,0,0,0.045405,0
RP11-1084I9.1,0,0,0,0,0
FAM166AP7,0,0,0,0,0
ENSG00000236070,0,0,0,0,0
SUPT7L,13.675,14.6339,9.88492,13.3467,11.9459
ENSG00000226463,0,0,0,0,0
ENSG00000233054,0,0,0,0,0
A1CF,0.0143759,0.0468324,0.0163296,0.0128771,0.027142
ENSG00000278545,0,0,0,0,0
RP11-158I13.2,0.0473742,0.155109,0.120701,0.0490119,2.134e-66
ENSG00000234305,0,0,0,0,0
AC009474.1,0,0,0,0,0
CCDC121,0.81375,0.967235,0.5609,0.763494,0.503726
ZNF414,5.53633,3.70942,6.19627,3.56029,3.78334
EGOT,0.0110844,0,0.0231689,0,0.0180463
AC018816.3,0.711267,1.05899,0.86426,1.36463,0.690783
TUBB8,0.0391369,0.0608593,0.0736511,0.0452706,0.0137103
GPN1,27.2557,24.6943,16.739,20.6175,16.2247
FAM21FP,0.579827,0.742364,0.476831,0.330686,0.900556
ENSG00000226271,0,0,0,0,0
ENSG00000262510,0,0,0,0,0
KB-226F1.5,0,0,0,0,0
ENSG00000224229,0,0,0,0,0
RP11-671E7.1,0.378402,0.737607,0.257018,0.103264,0.51661
LINC00424,0,0,0,0,0
LRRC9,0.00353963,0,0,0,0
ENSG00000229040,0,0,0,0,0
BRD7P6,0,0.013937,0,0,0.00594332
ENSG00000262752,0,0,0,0,0
ENSG00000261847,0,0,0,0,0
ENSG00000262476,0,0,0,0,0
LGALS3,39.4289,55.4868,65.7943,75.1988,79.4787
WASHC2C,8.09789,10.469,8.14078,8.16952,8.6207
ENSG00000225550,0,0,0,0,0
RP11-141M1.1,0,0,0,0.058641,0.0592762
RPS7,752.27,683.511,493.64,586.918,456.396
FUNDC2P2,0.0142644,0.0138208,0,0,0
ENSG00000226799,0,0,0,0,0
ENSG00000230754,0,0,0,0,0
STARD13,5.42619,4.91648,3.67576,4.97322,6.23645
RP11-16B13.1,0,0,0,0.0248464,0
IL9RP2,0,0,0,0,0
ENSG00000236910,0,0,0,0,0
RP11-62H20.1,0,0,0,0,0
ENSG00000276912,0,0,0,0,0
ENSG00000231960,0,0,0,0,0
RP11-449O16.2,0,0,0,0,0
ENSG00000228846,0,0,0,0,0
ASAH2B,2.3712,3.70209,3.43321,2.86776,3.43609
SCN5A,1.05391,4.81,10.4365,4.60134,10.6586
RP11-63N8.3,0,0,0,0,0
TPTE,0.159574,0.0877445,0.0434184,0.046405,0
AC009474.2,0,2.56852,2.25744,4.32004,0
AC106874.1,0,0,0,0,0
ENSG00000263141,0,0,0,0,0
ENSG00000230012,0,0,0,0,0
ENSG00000226347,0,0,0,0,0
PRMT5-AS1,0.193398,0.207469,0.208099,0.190167,0.181344
LINC01799,0,0,0,0,0
RPL31P9,0,0,0,0,0
LINC01628,0,0,0,0,0
TRMT1,12.3519,13.0348,12.2528,13.4393,16.0058
KB-226F1.4,0,0,0,0,0
CDKN2AIPNLP2,0,0,0,0,0
RP11-20A20.2,0,0,0,0,0
MTND3P1,0,0,0,0,0
LINC00540,0,0,0,0,0
ZNF396,0.325928,0.58754,0.599518,0.525609,0.596541
NME1P1,0,0,0,0,0
ENSG00000273772,0,0,0,0,0
LTBP2,2.59026,3.56208,4.35091,3.33067,3.75259
MEX3D,39.2319,28.1266,45.2599,25.5208,34.6156
PSAP,200.571,212.261,266.545,213.307,265.317
LINC01039,0,0,0,0,0
TUSC1,8.9647,7.26161,7.62194,7.40883,8.12436
ENSG00000229210,0,0,0,0,0
LINC01241,0,0,0,0,0
FBLN2,0.0452899,0.0660925,0,0.0400988,0.00590675
RP11-439L8.2,0.0796303,0.0113808,0.036553,0.0280603,0.0186067
FAM71BP1,0,0,0,0,0
CFL1P8,0,0,0,0,0
AKR1C1,3.11868,5.7621,5.57238,7.69714,1.9564
ATP11A-AS1,0.0288917,0.0167474,0.00577599,0.0192959,0.0142612
RP11-73M11.3,0,0,0,0.0841584,0
RP11-322E11.1,0,0,0,0,0
RP11-322E11.2,0.00757891,0,0.00820971,0.0118543,0.0183682
ATP11A,0,0,0,0.0397965,0.0399489
TYK2,42.3042,41.0518,36.3894,47.0094,46.6821
RP11-80I3.1,0.302843,0.402173,0.422651,0.393233,0.488081
STARD13-AS,1.12572,1.05863,0.656935,0.985837,1.21325
ENSG00000237690,0,0,0,0,0
RP11-563H6.1,0.755202,0,0,0.334394,1.91049
ENSG00000236927,0,0,0,0,0
ENSG00000260578,0.0139,0.033841,0.0373834,0.0160555,0.0113168
PTCD2P2,0,0,0,0,0
ENSG00000263424,1.08162e-06,6.18207e-07,0.0668329,0.0551758,4.18828e-06
RP11-28O3.2,0,0,0,0,0
AL078471.5,0.0676221,0.0261014,1.79878e-23,0.0591365,0.00773582
CTD-2207P18.1,2.07611e-50,1.66968e-62,0.0398414,3.44036e-93,8.165e-106
ENSG00000230505,0,0,0,0,0
STARD13-IT1,0.133271,0,0.0702625,0,0
RP11-29O13.1,0,0,0,0,0
RP11-638L3.1,1.86282e-87,8.5674e-74,5.31566e-168,0.00441576,4.03037e-65
RP11-141M1.4,0.0498242,0.0959656,0,0.0819706,0.122651
ENSG00000229181,0,0,0,0,0
RP11-638L3.4,0,0,0,0,0
ENSG00000242289,0,0,0,0,0
LINC01903,0,0,0,0,0
CYCSP41,0,0,0,0,0
RP11-638L3.2,0,0,0,0,0
INO80C,6.08068,6.69262,6.38407,6.98594,7.56371
BAGE2,0.310234,0.291551,0.120701,0.129454,0.0189111
ENSG00000232289,0,0,0,0,0
ENSG00000171451,1.71498,2.08656,1.22462,2.53697,1.27382
LINC01225,0,0,0,0.00711244,0.0119596
RP11-28O3.1,0,0,0,0,0
PRDX3P3,0,0,0,0,0
ENSG00000224923,0,0,0,0,0
TINAGL1,79.1292,62.6529,39.9377,59.1871,41.0282
DIO2,0.0845875,0.0562664,0.0586601,0.269849,0.175833
MRPL39,22.2086,25.8243,17.0035,23.4476,18.4844
ENSG00000185182,0,0,0,0,0
RP11-322E11.5,0.0487753,0.0305911,0.0316864,0.074541,0.0521854
ENSG00000273572,0,0,0,0,0
ENSG00000276979,0,0,0,0,0
RP11-840I19.5,0.164531,0,0,0,0.199683
RP11-322E11.6,0.227056,0.477173,0.220582,0.276514,0.23851
RP11-322E11.3,0.233419,0,0.939009,0.194598,0.19258
CHURC1,25.9916,26.7681,22.1421,29.9896,29.1329
DIO2-AS1,0.00895512,0,0,0,0
RP11-5P15.1,0,0,0,0,0
ENSG00000230136,0,0,0,0,0
RP11-18A15.1,0,0,0,0,0
PDPN,0,0,0,0,0
ENSG00000231919,0,0,0,0,0
RP11-73M7.1,0.0258041,0.0726262,0,0.0853102,0.0213614
RP11-337A23.6,0,0,0,0,0
LINC00345,0,0,0,0,0
AC007403.3,0,0,0,0,0
ENSG00000262860,0,0,0,0,0
ENSG00000236918,0,0,0,0,0
LRCH1,3.40787,4.12124,3.44638,3.65561,3.54663
ENSG00000225188,0,0,0,0,0
FNTB,10.5328,10.6836,8.26544,10.3892,10.0855
ENSG00000231320,0,0,0,0,0
TEX10,21.8675,22.9955,24.9104,23.3172,23.8713
TEC,2.7118,3.02701,2.69935,2.52839,2.84539
LINC01829,0,0,0.0710361,0,0.0661707
ENSG00000223618,0,0,0,0,0
LINC01828,0,0,0,0.0218325,0.023613
ACBD5,18.6223,19.5366,18.8663,18.513,21.0426
CHURC1-FNTB,3.66051e-17,3.0004e-14,5.57591e-21,0.19514,1.49421e-10
TLN1,73.6726,71.1779,66.973,75.1615,72.7812
ENSG00000231037,0,0,0,0,0
ENSG00000274429,0,0,0,0,0
ENSG00000249415,0,0,0,0,0
ENSG00000227596,0,0,0,0,0
TLR7,0.217002,0.25892,0.0614491,0.139063,0.179599
ENSG00000227178,0,0,0,0,0
RAB15,2.19078,5.4222,0.535812,1.79504,1.33434
CH17-80A12.1,0,0,0,0,0
IGKV1OR9-2,0,0,0,0,0
GSTT1,0,0,0,0,0
RPL21,316.609,309.912,271.241,273.845,251.871
ENSG00000231733,0,0,0,0,0
AL132709.1,0,0,0,0,0
SUCLG1,35.2004,34.2651,28.6355,31.852,27.9183
RNMT,14.6726,15.7632,9.73926,13.7879,13.1724
RP11-318K12.2,0,0,0,0,0.0893537
RP11-318K12.1,0,0,0,0,0
TLR8,0.0702479,0.0719847,0.024465,0.0179018,0.0257854
ENSG00000236492,0,0,0,0,0
SPG21,33.096,41.7181,54.5546,40.0583,44.6487
LINC01186,0.47103,0.380984,0.28823,0.345548,0.384728
RP11-165D6.1,0,0.180641,0,0,0
RP11-840I19.3,0.0824717,0.144654,0.244331,0.121628,0.224847
TLR8-AS1,1.50922,1.67968,0.551313,1.38679,1.08814
ENSG00000236693,0,0,0,0,0
RP11-318K12.3,0,0,0,0,0
GPX2,0.12071,0.0676576,0.0555181,0.0581612,0.0760637
LINC00609,0,0,0,0,0
PTCSC3,0,0,0,0.0270088,0
RP11-373J21.1,0,0,0,0,0
MAX,24.7764,31.2667,26.9919,32.2559,28.748
CTD-2311M21.4,0,0.0193041,0,0,0
ADAMTS3,0.597227,0.35578,0.620667,0.243562,0.286956
RP11-78J21.4,0,0,0,0,0
CTD-2311M21.5,0,0,0,0,0
RP11-356M17.1,0,0,0,0,0
RP11-78J21.6,0,0.0105129,0.0115562,0,0
ENSG00000278839,0,0,0,0,0
SNX5P1,0.0153876,0.0150422,0.0162936,0.0363216,0
CCDC158,0,0.0182916,0.0100493,0.0108626,0.0153045
SLC2AXP1,0,0,0,0,0
AC007967.3,0,0,0,0,0
GBA2,18.5987,19.7696,20.3143,20.9511,23.3488
RPL9P7,0.0733221,0.172144,0.075334,0.0875027,0.0897756
ENSG00000231608,0,0,0,0,0
CXorf58,0.0255615,0.0491719,0.0134491,0.00996694,0.0465326
AC092835.2,0.05004,0.00793718,0.0946065,0.0761403,0.0628229
ENSG00000275363,0,0,0,0,0
SLC25A51P2,0,0,0,0,0
ENSG00000231580,0,0,0,0,0
APOO,33.7727,25.5735,17.2359,29.1674,30.4134
ENSG00000235844,0,0,0,0,0
AC005363.9,1.54488e-21,1.33044e-51,0.397904,4.52637e-34,1.39788e-15
RP11-109P14.10,2.21802e-161,4.47254e-09,4.37075e-13,1.19773e-75,0.198964
FTH1P7,0.182604,0.225756,0.300814,0.169805,0.100036
RP11-75A9.1,0,0.00771396,0,0,0.00667094
RPS2,1133.59,1013.3,855.592,927.053,821.538
AC013275.2,0,0,0,0,0
TMSB4X,2017.6,2079.21,1245.93,2251.82,2002.73
DDX39AP1,0,0,0,0,0
SCTR,0,0,0,0,0
ENSG00000275316,0,0,0,0,0
INPP5B,3.81249,3.33418,2.97384,3.6605,3.96042
GAPDHP65,0.756593,0.613569,1.05799,0.485467,0.476964
RPL7AP73,0,0,0,0,0
AC005943.2,7.41148,5.92781,6.91578,12.8696,5.81712
IPMKP1,0,0,0.0467471,0,0.0173814
RP11-8L8.2,0,0,0,0,0
UQCR11,43.587,46.4199,41.7905,42.6873,45.8396
ENSG00000234728,0,0,0,0,0
RFESDP1,0,0,0,0,0
RP11-8L8.1,0,0,0,0,0
RBMY1HP,0,0,0,0,0
RPS29P11,0,0,0,0,0
AC013472.4,0,0,0,0,0
ENSG00000277574,0,0,0,0,0
RP11-302F12.4,0,0,0,0,0
AC013472.3,0.0164074,0.0241132,0,0.0204134,0.0133817
MTND4P9,0,0,0,0,0
AC005943.6,1.3381e-13,1.98279e-33,8.1939e-53,2.46742e-62,1.93542e-54
AC010141.4,0,0,0,0,0
IGHV3-29,0,0,0,0,0
CTD-2561F5.1,0,0,0,0,0
NUS1P2,0,0,0,0,1.09774e-07
MTND4LP22,0,0,0,0,0
LINC00621,0,0,0,0,0.0148431
LRRC25,0,0,0.00909417,0.00816477,0
BASP1P1,0,0,0,0,0
MBD3,83.1982,69.6605,55.1709,63.051,63.9946
DPYSL5,0,0.0036224,0,0.00318993,0
TMEM87A,19.5016,19.1062,22.1229,19.5062,17.2682
RP11-196B3.4,0,0,0,0,0
MTND3P5,0,0,0,0,0
IGHV3-33,0,0,0,0,0
ERAS,0.0575649,0.0334746,0,0.0396104,0.018913
IGHVII-33-1,0,0,0,0,0
ENSG00000232414,0,0,0,0,0
RP11-168L7.1,0,0,0,0,0
NAT8,0.0205706,0.0197469,0,0,0.016944
ENSG00000232232,0,0,0,0,0
RP11-720L3.1,0.474927,0.47266,0.157002,0,0
IGHV3-33-2,0,0,0,0,0
RP11-124N19.3,0,0,0,0,0
LINC00524,0,0,0.155081,0.27909,0.0915942
FAM210A,15.2602,15.1943,10.189,14.4359,15.209
